,name,num_plasmids_full,num_plasmids_lim,sum_length_full,sum_length_lim,num_contigs_full,num_contigs_lim,num_cds_full,num_cds_lim,lengths_full,lengths_lim,read_depth_full,read_depth_lim,gene_density_full,gene_density_lim,gc_content_full,gc_content_lim
BP-R29-2_assembly,BP-R29-2_assembly,6,4,123089,80156,36,23,155,64,"[7557, 33010, 61790, 9331, 5144, 6257]","[33010, 9331, 5144, 32671]","[2.164218, 0.473203, 0.723964, 6.684944, 9.837569, 0.534002]","[0.473203, 6.684944, 9.837569, 0.589205]","[0.688501, 0.697395, 0.380887, 0.745151, 0.700816, 0.373502]","[0.666737, 0.745151, 0.700816, 0.378256]","[0.472013, 0.333687, 0.366354, 0.371664, 0.368585, 0.387566]","[0.333687, 0.371664, 0.368585, 0.357993]"
BP-R30-1_assembly,BP-R30-1_assembly,3,1,23287,5107,9,1,38,6,"[14816, 5107, 3364]",[5107],"[2.083207, 5.138258, 2.983726]",[5.138258],"[0.428388, 0.503231, 0.922711]",[0.503231],"[0.439592, 0.369884, 0.492271]",[0.369884]
BP-R37-3_assembly,BP-R37-3_assembly,9,6,121725,108801,16,13,289,212,"[15052, 38293, 26460, 11354, 9331, 5144, 10333, 3893, 1865]","[5531, 50981, 26460, 11354, 9331, 5144]","[0.553152, 0.54953, 0.800614, 0.575353, 5.263395, 6.864042, 0.459362, 1.246753, 1.231098]","[0.692066, 0.468939, 0.800614, 0.575353, 5.263395, 6.864042]","[0.522588, 0.790118, 0.816062, 0.650872, 0.745151, 0.700816, 0.457273, 0.896224, 0.840214]","[0.586151, 0.790079, 0.816062, 0.650872, 0.745151, 0.700816]","[0.334906, 0.36145, 0.365608, 0.337414, 0.371664, 0.368585, 0.347527, 0.497046, 0.504021]","[0.311336, 0.35268, 0.365608, 0.337414, 0.371664, 0.368585]"
BP-R43E-1_assembly,BP-R43E-1_assembly,8,3,110709,83860,21,7,271,95,"[16870, 35749, 9143, 31241, 4450, 7518, 3893, 1845]","[18852, 16870, 48138]","[0.529318, 0.487628, 1.456317, 0.632061, 0.427321, 1.375658, 0.810142, 6.280384]","[0.444002, 0.529318, 0.589502]","[0.899111, 0.773168, 0.672318, 0.598732, 0.721573, 0.422586, 0.896224, 0.849322]","[0.698706, 0.894724, 0.572978]","[0.369413, 0.365493, 0.403587, 0.333536, 0.37191, 0.417132, 0.496275, 0.505149]","[0.340813, 0.369413, 0.354419]"
BP-R49-3_assembly,BP-R49-3_assembly,4,2,20207,14474,5,2,28,17,"[9331, 5143, 3893, 1840]","[9331, 5143]","[4.127151, 4.214758, 1.29016, 1.39625]","[4.127151, 4.214758]","[0.745151, 0.700953, 0.896224, 0.85163]","[0.745151, 0.700953]","[0.371664, 0.368073, 0.496532, 0.505978]","[0.371664, 0.368073]"
BP-R50-2_assembly,BP-R50-2_assembly,3,3,36961,88898,10,8,207,148,"[5813, 26588, 4560]","[57750, 26588, 4560]","[5.946194, 0.695367, 4.484836]","[0.766972, 0.695367, 4.484836]","[0.882333, 0.574808, 0.604167]","[0.743273, 0.557658, 0.604167]","[0.501806, 0.398375, 0.388377]","[0.369229, 0.398375, 0.388377]"
BP-R51-2_assembly,BP-R51-2_assembly,7,5,144996,140071,21,19,253,141,"[3477, 24734, 65865, 4698, 1644, 3281, 41297]","[3477, 24734, 4698, 65865, 41297]","[0.857014, 0.716483, 0.506354, 5.258601, 2.849228, 0.411773, 0.482101]","[0.857014, 0.716483, 5.258601, 0.506354, 0.482101]","[0.778545, 0.450716, 0.62534, 0.586207, 0.953163, 0.923194, 0.673996]","[0.757837, 0.438182, 0.586207, 0.339862, 0.637383]","[0.342824, 0.382348, 0.365672, 0.383993, 0.526764, 0.492838, 0.348936]","[0.342824, 0.382348, 0.383993, 0.365672, 0.348936]"
BP-R52-1_assembly,BP-R52-1_assembly,11,6,205303,156225,53,17,390,178,"[7559, 10219, 43124, 43721, 20586, 40341, 7919, 9331, 5144, 3765, 13594]","[10219, 18069, 40341, 73121, 9331, 5144]","[2.846978, 0.645778, 0.870076, 0.671432, 0.971398, 0.444809, 0.747157, 6.63369, 11.180236, 0.500849, 0.531389]","[0.645778, 0.542791, 0.444809, 0.429779, 6.63369, 11.180236]","[0.688319, 0.895978, 0.614878, 0.542074, 0.783979, 0.843559, 0.664225, 0.745151, 0.700816, 0.392032, 0.477269]","[0.888932, 0.544081, 0.843559, 0.358707, 0.745151, 0.700816]","[0.472152, 0.336139, 0.361005, 0.358958, 0.38021, 0.361493, 0.341836, 0.371664, 0.368585, 0.332271, 0.314624]","[0.336139, 0.319774, 0.361493, 0.355999, 0.371664, 0.368585]"
BP-R53-2_assembly,BP-R53-2_assembly,11,8,126865,96099,31,23,284,139,"[8897, 15210, 24267, 10667, 12223, 30190, 5178, 9331, 5144, 3893, 1865]","[10667, 8897, 24267, 5178, 5449, 9331, 5144, 27166]","[0.661882, 0.527853, 0.461596, 0.681118, 1.062669, 0.807224, 0.442813, 10.427558, 15.627064, 3.117973, 4.057679]","[0.681118, 0.661882, 0.461596, 0.442813, 1.112944, 10.427558, 15.627064, 0.854903]","[0.913904, 0.849507, 0.923105, 0.789444, 0.782623, 0.572971, 0.760718, 0.745151, 0.700816, 0.896224, 0.840214]","[0.743508, 0.905811, 0.923105, 0.760718, 0.57093, 0.745151, 0.700816, 0.416182]","[0.345397, 0.333662, 0.366794, 0.34977, 0.385339, 0.370421, 0.368482, 0.371664, 0.368585, 0.497046, 0.504021]","[0.34977, 0.345397, 0.366794, 0.368482, 0.369059, 0.371664, 0.368585, 0.375801]"
BP-R5E-3_assembly,BP-R5E-3_assembly,5,2,128551,102903,13,4,274,157,"[19920, 59703, 43200, 3893, 1835]","[59703, 43200]","[1.138799, 0.645611, 0.519514, 3.317992, 4.506638]","[0.645611, 0.519514]","[0.548193, 0.728255, 0.620972, 0.896224, 0.853951]","[0.67268, 0.457199]","[0.336546, 0.350569, 0.362986, 0.496532, 0.507357]","[0.350569, 0.362986]"
