,name,num_plasmids_full,num_plasmids_lim,sum_length_full,sum_length_lim,num_contigs_full,num_contigs_lim,num_cds_full,num_cds_lim,lengths_full,lengths_lim,read_depth_full,read_depth_lim,gene_density_full,gene_density_lim,gc_content_full,gc_content_lim
ES-C-ST001-25AUG14-0039K_assembly,ES-C-ST001-25AUG14-0039K_assembly,10,7,182050,171121,43,43,479,302,"[60444, 7321, 30744, 19307, 14469, 28088, 8320, 8247, 1751, 3359]","[60444, 14469, 25796, 24255, 29590, 8320, 8247]","[0.563657, 0.631269, 0.930166, 0.781582, 0.447819, 0.708132, 0.735351, 0.596502, 2.796277, 1.316018]","[0.563657, 0.447819, 0.787496, 1.007733, 0.712292, 0.735351, 0.596502]","[0.814605, 0.744161, 0.818859, 0.77604, 0.696109, 0.551161, 0.494952, 0.444283, 0.894917, 0.924085]","[0.814605, 0.696109, 0.689797, 0.813028, 0.523184, 0.494952, 0.444283]","[0.34005, 0.322087, 0.361794, 0.363029, 0.327044, 0.37055, 0.354687, 0.358312, 0.516848, 0.493599]","[0.34005, 0.327044, 0.360754, 0.362894, 0.372153, 0.354687, 0.358312]"
ES-C-ST001-25AUG15-0117K_assembly,ES-C-ST001-25AUG15-0117K_assembly,7,4,296855,293923,13,16,284,241,"[278114, 2460, 4386, 5121, 1795, 3359, 1620]","[8228, 278114, 5121, 2460]","[0.909595, 0.964576, 0.465287, 27.801838, 6.925089, 3.782023, 4.357571]","[0.92864, 0.909595, 27.801838, 0.964576]","[0.336574, 0.638211, 0.463064, 0.703964, 0.872981, 0.924085, 0.814815]","[0.586048, 0.308244, 0.703964, 0.509756]","[0.362042, 0.39878, 0.310078, 0.368092, 0.513649, 0.493599, 0.399383]","[0.345649, 0.362042, 0.368092, 0.39878]"
ES-C-ST001-25AUG15-0117L_assembly,ES-C-ST001-25AUG15-0117L_assembly,6,3,102460,87568,30,26,262,139,"[23934, 39324, 24310, 9208, 1795, 3889]","[23934, 39324, 24310]","[0.607275, 0.803338, 0.483026, 0.573448, 8.641165, 3.740338]","[0.607275, 0.803338, 0.492486]","[0.763851, 0.882794, 0.57536, 0.625652, 0.872981, 0.897146]","[0.592713, 0.882794, 0.557055]","[0.346662, 0.346201, 0.311888, 0.318636, 0.513649, 0.496786]","[0.346662, 0.346201, 0.311888]"
ES-C-ST001-27APR15-0081A_assembly,ES-C-ST001-27APR15-0081A_assembly,8,5,34587,15746,12,5,47,28,"[2206, 2940, 2154, 4447, 4348, 1857, 10884, 5751]","[2940, 2154, 4348, 4447, 1857]","[0.658202, 0.486496, 0.514725, 0.758057, 0.450412, 0.558084, 1.786529, 1.511542]","[0.486496, 0.514725, 0.450412, 0.758057, 0.558084]","[0.958749, 0.830272, 0.846332, 0.837643, 0.783809, 0.556812, 0.327361, 0.539732]","[0.830272, 0.846332, 0.783809, 0.82595, 0.556812]","[0.394832, 0.341156, 0.354225, 0.39195, 0.358096, 0.363489, 0.431551, 0.431229]","[0.341156, 0.354225, 0.358096, 0.39195, 0.363489]"
ES-C-ST001-27APR15-0081C_assembly,ES-C-ST001-27APR15-0081C_assembly,2,0,50287,0,9,0,135,0,"[48472, 1815]",[],"[1.01686, 13.179353]",[],"[0.556548, 0.863361]",[],"[0.361714, 0.510193]",[]
ES-C-ST001-27APR15-0081I_assembly,ES-C-ST001-27APR15-0081I_assembly,2,0,4273,0,5,0,5,0,"[2460, 1813]",[],"[9.361824, 2.261479]",[],"[0.666667, 0.864313]",[],"[0.491463, 0.510204]",[]
ES-C-ST001-27APR15-0081J_assembly,ES-C-ST001-27APR15-0081J_assembly,8,5,87612,47850,24,16,323,102,"[25242, 8174, 5689, 6072, 17263, 13869, 7410, 3893]","[6072, 25242, 6608, 5689, 4239]","[0.756365, 0.575401, 0.56701, 0.804315, 1.151098, 1.111493, 4.379733, 0.817635]","[0.804315, 0.756365, 0.643044, 0.566916, 0.442838]","[0.81404, 0.78346, 0.869749, 0.758729, 0.667265, 0.603504, 0.630364, 0.896224]","[0.719862, 0.788646, 0.800847, 0.853753, 0.567823]","[0.351993, 0.344385, 0.370012, 0.343874, 0.353183, 0.390728, 0.453981, 0.496275]","[0.343874, 0.351993, 0.350787, 0.370012, 0.331682]"
ES-C-ST001-27APR15-0081K_assembly,ES-C-ST001-27APR15-0081K_assembly,2,1,34959,31354,15,3,117,73,"[3605, 31354]",[31354],"[8.786607, 1.088896]",[1.088896],"[0.436338, 0.892231]",[0.878038],"[0.497365, 0.365344]",[0.365344]
ES-C-ST001-27APR15-0081M_assembly,ES-C-ST001-27APR15-0081M_assembly,3,1,39018,42249,18,9,120,106,"[3512, 33704, 1802]",[42249],"[7.671246, 0.956581, 1.84411]",[0.817206],"[0.46697, 0.858948, 0.869589]",[0.814765],"[0.498861, 0.359275, 0.512764]",[0.355582]
ES-C-ST002-01FEB16-0146A_assembly,ES-C-ST002-01FEB16-0146A_assembly,3,2,103727,76911,11,6,179,112,"[29905, 47006, 26816]","[74415, 2496]","[0.974644, 0.903509, 1.345368]","[0.928437, 0.752878]","[0.640762, 0.826894, 0.369928]","[0.628126, 0.463942]","[0.330781, 0.34419, 0.385777]","[0.339569, 0.321314]"
ES-C-ST002-07DEC15-0142J_assembly,ES-C-ST002-07DEC15-0142J_assembly,2,1,13352,8722,17,12,125,22,"[11031, 2321]",[8722],"[1.133545, 0.911022]",[1.168107],"[0.785151, 0.582938]",[0.591722],"[0.34956, 0.350711]",[0.350608]
ES-C-ST002-25AUG14-0040A_assembly,ES-C-ST002-25AUG14-0040A_assembly,5,3,214463,44760,64,28,436,91,"[4683, 29135, 14441, 164494, 1710]","[33339, 5264, 6157]","[4.465875, 1.000506, 0.887953, 0.924528, 1.233961]","[0.967618, 1.122781, 0.953706]","[0.350203, 0.847846, 0.810055, 0.321544, 0.379532]","[0.791565, 0.694909, 0.615722]","[0.503523, 0.356307, 0.351776, 0.334061, 0.447953]","[0.35577, 0.353913, 0.350658]"
ES-C-ST002-25AUG14-0040C_assembly,ES-C-ST002-25AUG14-0040C_assembly,3,0,107581,0,13,0,264,0,"[102474, 1748, 3359]",[],"[1.199051, 2.957329, 0.728736]",[],"[0.830181, 0.896453, 0.924085]",[],"[0.346322, 0.517162, 0.493599]",[]
ES-C-ST002-25AUG14-0040D_assembly,ES-C-ST002-25AUG14-0040D_assembly,6,3,181097,158143,34,24,341,262,"[68770, 24310, 23891, 59098, 1749, 3279]","[68770, 30275, 59098]","[1.615029, 0.748246, 1.127046, 1.365509, 1.608257, 1.726195]","[1.615029, 1.111888, 1.365543]","[0.842228, 0.57536, 0.840986, 0.533098, 0.895941, 0.924062]","[0.842228, 0.816846, 0.522387]","[0.339988, 0.311929, 0.362773, 0.35211, 0.516867, 0.493443]","[0.339988, 0.361057, 0.35211]"
ES-C-ST002-25AUG14-0040E_assembly,ES-C-ST002-25AUG14-0040E_assembly,4,2,56684,51487,16,13,321,120,"[43281, 8206, 3363, 1834]","[43281, 8206]","[1.302213, 0.802636, 2.002313, 2.103613]","[1.302213, 0.802636]","[0.850489, 0.793566, 0.922985, 0.854417]","[0.833599, 0.677675]","[0.357824, 0.327687, 0.492417, 0.508179]","[0.357824, 0.327687]"
ES-C-ST002-25AUG14-0040I_assembly,ES-C-ST002-25AUG14-0040I_assembly,3,1,50059,44362,9,6,225,93,"[44362, 3893, 1804]",[44362],"[0.806165, 1.463974, 2.438403]",[0.806165],"[0.851224, 0.896224, 0.868625]",[0.836031],"[0.349917, 0.496275, 0.511641]",[0.349917]
ES-C-ST002-25AUG14-0040K_assembly,ES-C-ST002-25AUG14-0040K_assembly,6,4,132031,149013,28,23,361,254,"[29819, 68866, 25209, 2460, 1749, 3928]","[94665, 42826, 9062, 2460]","[1.018928, 0.986824, 0.629694, 1.026804, 1.893549, 1.790929]","[0.928217, 0.921585, 0.985102, 1.009224]","[0.839029, 0.869558, 0.703281, 0.75935, 0.895941, 0.888238]","[0.855924, 0.760146, 0.563341, 0.728862]","[0.361246, 0.341242, 0.338252, 0.39878, 0.516867, 0.495672]","[0.336471, 0.350301, 0.359634, 0.39878]"
ES-C-ST002-27APR15-0082B_assembly,ES-C-ST002-27APR15-0082B_assembly,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
ES-C-ST002-27APR15-0082C_assembly,ES-C-ST002-27APR15-0082C_assembly,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
ES-M-ST001-03FEB15-0063D_assembly,ES-M-ST001-03FEB15-0063D_assembly,2,0,11611,0,7,0,15,0,"[7718, 3893]",[],"[3.871946, 0.629967]",[],"[0.605209, 0.896224]",[],"[0.448432, 0.496275]",[]
ES-M-ST001-03FEB15-0063I_assembly,ES-M-ST001-03FEB15-0063I_assembly,6,3,91450,102441,9,9,206,218,"[68443, 10513, 5129, 1795, 3889, 1681]","[68443, 28869, 5129]","[0.670906, 0.568278, 4.315865, 5.723283, 3.381832, 0.725078]","[0.670906, 0.9816, 4.315865]","[0.838318, 0.665747, 0.522714, 0.872981, 0.897146, 0.785247]","[0.838318, 0.856628, 0.522714]","[0.340619, 0.317892, 0.369078, 0.513649, 0.496786, 0.393813]","[0.340619, 0.359451, 0.369078]"
ES-M-ST001-03FEB15-0063J_assembly,ES-M-ST001-03FEB15-0063J_assembly,7,5,125703,120019,17,14,335,235,"[4726, 57193, 19809, 35831, 2460, 1795, 3889]","[4726, 57193, 19809, 35831, 2460]","[0.546542, 0.787412, 0.41257, 0.889881, 0.932462, 5.360378, 2.945531]","[0.546542, 0.787412, 0.41257, 0.889881, 0.932462]","[0.785019, 0.690172, 0.774194, 0.810723, 0.74065, 0.872981, 0.897146]","[0.76259, 0.690172, 0.774194, 0.798303, 0.612195]","[0.329666, 0.341738, 0.324146, 0.362814, 0.39878, 0.513649, 0.496786]","[0.329666, 0.341738, 0.324146, 0.362814, 0.39878]"
ES-M-ST001-03FEB15-0063K_assembly,ES-M-ST001-03FEB15-0063K_assembly,10,5,172822,153929,52,46,482,308,"[4450, 82424, 4349, 41895, 14269, 4410, 2392, 1795, 3889, 12949]","[82424, 41895, 2392, 14269, 12949]","[0.44068, 0.886808, 0.435974, 1.126202, 0.722856, 0.937435, 0.829163, 4.858069, 2.447681, 0.769151]","[0.886808, 1.126202, 0.829163, 0.722856, 0.769151]","[0.833258, 0.840071, 0.561278, 0.580356, 0.729273, 0.729932, 0.560619, 0.872981, 0.897146, 0.682138]","[0.829394, 0.575844, 0.48495, 0.635994, 0.682138]","[0.315955, 0.342655, 0.307657, 0.360616, 0.357348, 0.370068, 0.345736, 0.513649, 0.4973, 0.369218]","[0.342655, 0.360616, 0.345736, 0.357348, 0.369218]"
ES-M-ST001-03FEB15-0063L_assembly,ES-M-ST001-03FEB15-0063L_assembly,7,3,107016,99743,8,7,272,211,"[6769, 65745, 22007, 5129, 1795, 3889, 1682]","[65745, 28869, 5129]","[0.593744, 0.885928, 1.015942, 4.096143, 4.65512, 2.759655, 0.49865]","[0.885928, 0.925427, 4.096143]","[0.804402, 0.855289, 0.904394, 0.522714, 0.872981, 0.897146, 0.78478]","[0.855289, 0.856628, 0.522714]","[0.326341, 0.341288, 0.360931, 0.369078, 0.513649, 0.496786, 0.393579]","[0.341288, 0.359451, 0.369078]"
ES-M-ST001-03FEB15-0063M_assembly,ES-M-ST001-03FEB15-0063M_assembly,11,7,116826,100585,15,10,375,226,"[2761, 10201, 6573, 12731, 28869, 35174, 8389, 2460, 3984, 1795, 3889]","[10201, 12731, 8389, 35174, 28869, 2761, 2460]","[0.540051, 0.834329, 0.566864, 0.551199, 0.963593, 1.291664, 0.445888, 0.849248, 0.440716, 5.760493, 2.982473]","[0.834329, 0.551199, 0.445888, 1.291664, 0.963593, 0.540051, 0.849248]","[0.887722, 0.871875, 0.828389, 0.817375, 0.878451, 0.879343, 0.672309, 0.74065, 0.509789, 0.872981, 0.897146]","[0.871875, 0.817375, 0.672309, 0.879343, 0.875922, 0.629844, 0.612195]","[0.322709, 0.333399, 0.327704, 0.326212, 0.359417, 0.354921, 0.313744, 0.39878, 0.315763, 0.513649, 0.4973]","[0.333399, 0.326212, 0.313744, 0.354921, 0.359417, 0.322709, 0.39878]"
ES-M-ST001-03MAR15-0067C_assembly,ES-M-ST001-03MAR15-0067C_assembly,4,1,79699,66919,17,8,229,124,"[66919, 7514, 3363, 1903]",[66919],"[1.408714, 0.758787, 1.156741, 1.0883]",[1.410402],"[0.756781, 0.555097, 0.922985, 0.823437]",[0.75566],"[0.350663, 0.389007, 0.492715, 0.499212]",[0.350663]
ES-M-ST001-03MAR15-0067I_assembly,ES-M-ST001-03MAR15-0067I_assembly,6,2,97885,113207,25,20,315,239,"[16226, 2676, 68788, 5121, 1795, 3279]","[108086, 5121]","[0.950065, 0.533945, 1.357009, 9.191521, 1.918553, 1.129358]","[1.22467, 9.191521]","[0.773573, 0.729821, 0.840757, 0.703769, 0.872981, 0.924062]","[0.802537, 0.703769]","[0.345125, 0.322496, 0.340016, 0.368483, 0.513092, 0.493748]","[0.346733, 0.368483]"
ES-M-ST001-03MAR15-0067J_assembly,ES-M-ST001-03MAR15-0067J_assembly,2,0,5675,0,4,0,11,0,"[1782, 3893]",[],"[2.33304, 2.04366]",[],"[0.879349, 0.896224]",[],"[0.514029, 0.496789]",[]
ES-M-ST001-03MAR15-0067K_assembly,ES-M-ST001-03MAR15-0067K_assembly,2,1,47914,42264,17,13,215,105,"[42264, 5650]",[42264],"[0.940324, 2.314657]",[0.940324],"[0.832647, 0.894867]",[0.811376],"[0.355456, 0.503186]",[0.355456]
ES-M-ST001-03MAY16-0152I_assembly,ES-M-ST001-03MAY16-0152I_assembly,17,10,155719,107589,21,10,366,195,"[16662, 2847, 5193, 38057, 2088, 23155, 6278, 4541, 2460, 2397, 20573, 3120, 1796, 13530, 1795, 7338, 3889]","[2847, 2088, 5193, 38057, 23155, 6278, 4541, 2460, 2397, 20573]","[0.911427, 0.561612, 1.077513, 1.012553, 0.568957, 1.002241, 0.776973, 0.740251, 0.77155, 0.826804, 1.483448, 0.822537, 0.44914, 1.037968, 11.364751, 1.881971, 3.364929]","[0.561612, 0.568957, 1.077513, 1.012553, 1.002241, 0.776973, 0.740251, 0.77155, 0.826804, 1.483448]","[0.304825, 0.981033, 0.875602, 0.873873, 0.699713, 0.914446, 0.809653, 0.745431, 0.75935, 0.724656, 0.770087, 0.498077, 0.461024, 0.619586, 0.872981, 0.423004, 0.897146]","[0.981033, 0.699713, 0.875602, 0.873873, 0.914446, 0.798025, 0.745431, 0.728862, 0.483938, 0.560006]","[0.354999, 0.342466, 0.347391, 0.352261, 0.316571, 0.366012, 0.355368, 0.352345, 0.39878, 0.352107, 0.381811, 0.324679, 0.317929, 0.391944, 0.513649, 0.41728, 0.496786]","[0.342466, 0.316571, 0.347391, 0.352261, 0.366012, 0.355368, 0.352345, 0.39878, 0.352107, 0.381811]"
ES-M-ST001-03MAY16-0152K_assembly,ES-M-ST001-03MAY16-0152K_assembly,10,6,101886,71880,13,8,310,145,"[5294, 33154, 3392, 4615, 1902, 16520, 7758, 23523, 1835, 3893]","[1902, 5294, 3392, 33154, 4615, 23523]","[0.624102, 1.092438, 0.692342, 1.173839, 0.50735, 1.136835, 0.96245, 1.796339, 9.3007, 6.044399]","[0.50735, 0.624102, 0.692342, 1.092438, 1.173839, 1.796339]","[0.749339, 0.864209, 0.763267, 0.829252, 0.537855, 0.669068, 0.558134, 0.489011, 0.853951, 0.896224]","[0.537855, 0.738383, 0.763267, 0.864209, 0.829252, 0.485525]","[0.35493, 0.363878, 0.349646, 0.367497, 0.32387, 0.356719, 0.35241, 0.397866, 0.507357, 0.496789]","[0.32387, 0.35493, 0.349646, 0.363878, 0.367497, 0.397866]"
ES-M-ST001-03NOV15-0137B_assembly,ES-M-ST001-03NOV15-0137B_assembly,4,3,52988,46368,21,17,220,104,"[41341, 2460, 5161, 4026]","[34796, 9112, 2460]","[0.992263, 0.986708, 3.19502, 0.975679]","[1.05349, 1.011395, 0.986708]","[0.830193, 0.736179, 0.905057, 0.327869]","[0.794488, 0.56025, 0.612195]","[0.357659, 0.398374, 0.500484, 0.365872]","[0.359352, 0.359306, 0.398374]"
ES-M-ST001-03NOV15-0137D_assembly,ES-M-ST001-03NOV15-0137D_assembly,6,4,73835,27837,9,6,108,45,"[3984, 4226, 17028, 18417, 3363, 26817]","[3984, 4226, 2599, 17028]","[0.531752, 0.543158, 0.625761, 0.969204, 3.42878, 1.222449]","[0.531752, 0.543158, 1.347538, 0.625761]","[0.883283, 0.849266, 0.743246, 0.678395, 0.922985, 0.377857]","[0.883283, 0.849266, 0.358984, 0.743246]","[0.34739, 0.339328, 0.355884, 0.348917, 0.492715, 0.385837]","[0.34739, 0.339328, 0.323971, 0.355884]"
ES-M-ST001-03NOV15-0137I_assembly,ES-M-ST001-03NOV15-0137I_assembly,5,2,74596,27133,20,4,225,47,"[16722, 10411, 8040, 27446, 11977]","[16722, 10411]","[0.714791, 0.579909, 5.629462, 0.985503, 1.092038]","[0.714791, 0.579909]","[0.806841, 0.829891, 0.485323, 0.531407, 0.484762]","[0.804808, 0.780425]","[0.336862, 0.344059, 0.337313, 0.336224, 0.36879]","[0.336862, 0.344059]"
ES-M-ST001-03NOV15-0137J_assembly,ES-M-ST001-03NOV15-0137J_assembly,5,4,50096,48415,15,14,194,105,"[9308, 23187, 9379, 6541, 1681]","[9308, 9379, 23187, 6541]","[0.723951, 1.091521, 0.709187, 0.535954, 2.152328]","[0.723951, 0.709187, 1.091521, 0.535954]","[0.765041, 0.71497, 0.687173, 0.454518, 0.785247]","[0.706489, 0.630238, 0.71497, 0.454518]","[0.344435, 0.360504, 0.342361, 0.36554, 0.393813]","[0.344435, 0.342361, 0.360504, 0.36554]"
ES-M-ST001-03NOV15-0137K_assembly,ES-M-ST001-03NOV15-0137K_assembly,5,3,45033,40729,17,13,227,101,"[30976, 7193, 2560, 1681, 2623]","[30976, 7193, 2560]","[1.09643, 0.928448, 0.509273, 1.725644, 1.112035]","[1.09643, 0.928448, 0.509273]","[0.901052, 0.771305, 0.616406, 0.785247, 0.332825]","[0.887171, 0.70944, 0.36875]","[0.359407, 0.355484, 0.308203, 0.393813, 0.372474]","[0.359407, 0.355484, 0.308203]"
ES-M-ST001-03NOV15-0137L_assembly,ES-M-ST001-03NOV15-0137L_assembly,19,16,191251,196870,83,99,400,298,"[5584, 4775, 27609, 46682, 27518, 8703, 1573, 1986, 2321, 11316, 4050, 15415, 8856, 2845, 3893, 2112, 3149, 3638, 9226]","[5584, 4775, 43193, 11097, 33609, 16698, 8703, 1986, 2321, 17875, 5154, 15415, 2436, 2651, 16147, 9226]","[0.416123, 0.403893, 0.707984, 1.009525, 0.820564, 1.245154, 0.529226, 0.396621, 0.784785, 0.885778, 0.448363, 1.52065, 0.520002, 0.789947, 1.875478, 2.101835, 1.651707, 0.458833, 1.179852]","[0.416123, 0.403893, 1.001458, 0.769327, 0.919248, 0.765816, 1.184148, 0.396621, 0.784785, 1.274017, 0.646155, 1.538943, 1.107428, 1.575524, 0.783185, 1.171649]","[0.9024, 0.749529, 0.789489, 0.737972, 0.634276, 0.673561, 0.743802, 0.59567, 0.551486, 0.686727, 0.501481, 0.46085, 0.469061, 0.454482, 0.896224, 0.741951, 0.776119, 0.846894, 0.553436]","[0.9024, 0.749529, 0.465376, 0.567, 0.807165, 0.69128, 0.673561, 0.59567, 0.551486, 0.554797, 0.465076, 0.46085, 0.487685, 0.890607, 0.741005, 0.553436]","[0.309635, 0.287749, 0.338911, 0.350499, 0.319936, 0.364472, 0.324857, 0.306647, 0.315381, 0.351891, 0.321235, 0.368537, 0.331414, 0.339192, 0.496789, 0.478693, 0.375675, 0.392523, 0.365164]","[0.309635, 0.287749, 0.339638, 0.352618, 0.349817, 0.32435, 0.364472, 0.306647, 0.315381, 0.359161, 0.315095, 0.368537, 0.371511, 0.378725, 0.344089, 0.365164]"
ES-M-ST001-03NOV15-0137M_assembly,ES-M-ST001-03NOV15-0137M_assembly,6,2,68485,36163,13,8,166,79,"[2460, 33703, 25486, 1795, 3359, 1682]","[33703, 2460]","[1.050117, 1.050469, 1.140044, 7.240698, 5.272403, 1.800204]","[1.05237, 1.055019]","[0.75935, 0.858944, 0.576748, 0.872981, 0.924085, 0.78478]","[0.845741, 0.728862]","[0.39878, 0.359256, 0.340893, 0.513649, 0.493004, 0.393579]","[0.359256, 0.39878]"
ES-M-ST001-05JAN16-0143I_assembly,ES-M-ST001-05JAN16-0143I_assembly,5,3,111965,106327,13,10,352,243,"[12634, 68769, 24924, 1749, 3889]","[68769, 31413, 6145]","[0.680288, 1.425847, 1.120163, 2.831549, 1.131062]","[1.425847, 1.022312, 0.599499]","[0.802121, 0.840728, 0.889665, 0.895941, 0.897146]","[0.840728, 0.853532, 0.665745]","[0.343676, 0.339979, 0.364508, 0.516867, 0.4973]","[0.339979, 0.362334, 0.332791]"
ES-M-ST001-08MAR16-0147A_assembly,ES-M-ST001-08MAR16-0147A_assembly,7,3,198272,177833,24,19,349,222,"[162157, 10024, 7193, 5307, 8483, 1749, 3359]","[162157, 7193, 8483]","[1.020272, 0.698858, 0.893334, 0.476931, 0.587815, 8.44136, 4.489448]","[1.020272, 0.893334, 0.587815]","[0.48675, 0.698224, 0.771305, 0.506312, 0.658258, 0.895941, 0.924085]","[0.484456, 0.70944, 0.48497]","[0.360768, 0.323623, 0.355624, 0.302054, 0.386656, 0.516867, 0.493599]","[0.360768, 0.355624, 0.386656]"
ES-M-ST001-08MAR16-0147C_assembly,ES-M-ST001-08MAR16-0147C_assembly,2,1,60985,33770,13,10,236,51,"[44144, 16841]",[33770],"[1.00451, 0.454692]",[0.593216],"[0.841428, 0.52871]",[0.574652],"[0.356153, 0.291966]",[0.32061]
ES-M-ST001-08MAR16-0147J_assembly,ES-M-ST001-08MAR16-0147J_assembly,2,2,53004,48420,16,15,215,106,"[19635, 33369]","[41285, 7135]","[0.567756, 1.134247]","[1.023617, 0.986068]","[0.803259, 0.867452]","[0.776892, 0.702172]","[0.35564, 0.360304]","[0.361851, 0.356272]"
ES-M-ST001-08MAR16-0147K_assembly,ES-M-ST001-08MAR16-0147K_assembly,5,2,86555,84979,52,51,217,165,"[52005, 3889, 3359, 1795, 25507]","[59741, 25238]","[1.234148, 4.698567, 0.556614, 7.069764, 0.955427]","[1.185036, 0.963361]","[0.688818, 0.897146, 0.924085, 0.872981, 0.588427]","[0.667917, 0.577344]","[0.349236, 0.496786, 0.493004, 0.513649, 0.365429]","[0.351049, 0.36445]"
ES-M-ST001-13OCT14-0050B_assembly,ES-M-ST001-13OCT14-0050B_assembly,5,3,122824,144914,15,13,295,261,"[94665, 14082, 5691, 5819, 2567]","[94665, 36167, 14082]","[1.07894, 0.709707, 1.253632, 0.836325, 2.162634]","[1.096801, 0.968724, 0.709707]","[0.8566, 0.806917, 0.88842, 0.55989, 0.514219]","[0.855934, 0.764094, 0.779506]","[0.336492, 0.344056, 0.502372, 0.349201, 0.386443]","[0.336492, 0.359388, 0.344056]"
ES-M-ST001-13OCT14-0050E_assembly,ES-M-ST001-13OCT14-0050E_assembly,6,1,103008,28588,18,1,248,70,"[28588, 28514, 15689, 3728, 1815, 24674]",[28588],"[0.723617, 0.858201, 0.972228, 1.98252, 2.528443, 1.091318]",[0.723617],"[0.891563, 0.538578, 0.524763, 0.896996, 0.863361, 0.350774]",[0.816252],"[0.335945, 0.33587, 0.376952, 0.498391, 0.510193, 0.386237]",[0.335945]
ES-M-ST001-13OCT14-0050I_assembly,ES-M-ST001-13OCT14-0050I_assembly,6,7,75115,82018,58,71,209,128,"[9137, 15851, 31031, 3981, 8476, 6639]","[39569, 11827, 9137, 3981, 2389, 8476, 6639]","[0.928701, 1.371814, 1.049375, 1.01812, 0.730649, 0.750594]","[1.130472, 1.038324, 0.913888, 1.099107, 0.438289, 0.722746, 0.750754]","[0.66269, 0.44054, 0.556508, 0.314243, 0.721921, 0.629312]","[0.488564, 0.454553, 0.512641, 0.314243, 0.497279, 0.678622, 0.618316]","[0.357229, 0.364835, 0.354871, 0.360462, 0.341907, 0.354571]","[0.359069, 0.367126, 0.356572, 0.361216, 0.305567, 0.341907, 0.354571]"
ES-M-ST001-13OCT14-0050J_assembly,ES-M-ST001-13OCT14-0050J_assembly,5,3,122580,116879,11,8,295,229,"[109275, 2460, 5144, 1812, 3889]","[109275, 2460, 5144]","[1.288735, 0.83318, 24.304058, 2.451865, 1.045446]","[1.288735, 0.83318, 24.304058]","[0.873933, 0.736179, 0.700816, 0.86479, 0.897146]","[0.86986, 0.612195, 0.700816]","[0.343583, 0.39878, 0.368585, 0.511038, 0.4973]","[0.343583, 0.39878, 0.368585]"
ES-M-ST001-13OCT14-0050K_assembly,ES-M-ST001-13OCT14-0050K_assembly,5,3,108946,115531,19,16,337,224,"[12583, 68770, 22485, 1749, 3359]","[68770, 24276, 22485]","[0.73453, 1.274825, 1.090416, 2.840028, 1.423415]","[1.274825, 0.46476, 1.091542]","[0.753954, 0.842228, 0.893573, 0.895941, 0.924085]","[0.842228, 0.557835, 0.877029]","[0.34332, 0.339974, 0.360774, 0.516867, 0.493004]","[0.339974, 0.311748, 0.360774]"
ES-M-ST001-15SEP15-0124A_assembly,ES-M-ST001-15SEP15-0124A_assembly,2,0,5728,0,3,0,11,0,"[1835, 3893]",[],"[7.862458, 4.174055]",[],"[0.853951, 0.896224]",[],"[0.507357, 0.496789]",[]
ES-M-ST001-15SEP15-0124C_assembly,ES-M-ST001-15SEP15-0124C_assembly,2,1,32637,30734,2,1,53,51,"[30734, 1903]",[30734],"[0.896702, 6.037787]",[0.896702],"[0.787402, 0.823437]",[0.787402],"[0.348539, 0.502365]",[0.348539]
ES-M-ST001-19MAY15-0089A_assembly,ES-M-ST001-19MAY15-0089A_assembly,6,3,57203,46075,20,10,220,101,"[2533, 30287, 10667, 5121, 6776, 1819]","[30287, 10667, 5121]","[7.883001, 0.88025, 0.596579, 13.875916, 0.963686, 2.873074]","[0.88025, 0.596579, 13.875916]","[0.647454, 0.853832, 0.763945, 0.703964, 0.624852, 0.861462]","[0.836927, 0.763945, 0.703964]","[0.49546, 0.358273, 0.342739, 0.368287, 0.373524, 0.51072]","[0.358273, 0.342739, 0.368287]"
ES-M-ST001-19MAY15-0089B_assembly,ES-M-ST001-19MAY15-0089B_assembly,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[]
ES-M-ST001-19MAY15-0089C_assembly,ES-M-ST001-19MAY15-0089C_assembly,8,2,75161,38882,29,7,156,59,"[1727, 15695, 2109, 13038, 20996, 13503, 6269, 1824]","[6269, 32613]","[0.697923, 1.272926, 1.009647, 1.209689, 1.181537, 3.495383, 0.943277, 4.429008]","[0.984751, 1.033607]","[0.677475, 0.618286, 0.736842, 0.80273, 0.626929, 0.602829, 0.55591, 0.315241]","[0.544584, 0.771012]","[0.316734, 0.382988, 0.348032, 0.361789, 0.392122, 0.354069, 0.360664, 0.514254]","[0.360664, 0.362432]"
ES-M-ST001-19MAY15-0089D_assembly,ES-M-ST001-19MAY15-0089D_assembly,8,5,102636,71520,27,23,317,140,"[36019, 7493, 13127, 9760, 5121, 26754, 2567, 1795]","[36019, 7493, 13127, 9760, 5121]","[0.866388, 0.431258, 0.57444, 0.779937, 14.061155, 1.197922, 1.39919, 12.365536]","[0.866388, 0.431258, 0.57444, 0.779937, 14.061155]","[0.772176, 0.806353, 0.763084, 0.663627, 0.703964, 0.592659, 0.514219, 0.872981]","[0.759516, 0.806353, 0.75737, 0.549693, 0.703964]","[0.358866, 0.320566, 0.353241, 0.35584, 0.368287, 0.367123, 0.386443, 0.513649]","[0.358866, 0.320566, 0.353241, 0.35584, 0.368287]"
